company_id,region,sector,num_employees,annual_revenue,avg_employee_salary,expenses_total,customer_growth_rate,customer_retention_rate,digital_spending_ratio,years_in_operation,profit_to_expense_ratio,tech_adoption_level,remote_work_policy,has_pitch_deck,cash_flow_score,credit_score,registered_business,prior_investment,traction_score,female_owned,bookkeeping_quality,tax_compliance_status,regulatory_license_status,data_protection_score,employee_contracts_verified,AML_risk_flag,financial_transparency_score,compliance_risk_level,funding_stage,revenue_growth_rate
2319,Rural,Healthcare,192,139062,5320.91,92536.57,0.522,0.234,0.37,12,0.094,Low,None,1,0.41,0.364,1,None,0.479,0,0.189,Not Registered,Valid,0.0,1,0,0.35,High,Series B,0.4475
2320,Rural,Retail,175,167596,3829.79,82637.67,0.576,0.4,0.17,18,0.092,Low,None,0,0.403,0.433,1,Gov Grant,0.518,0,0.325,Not Registered,Valid,0.0,1,0,0.407,High,Series A,0.3516
2321,Urban,Tech,285,29555,7483.76,12538.02,0.086,0.38,0.148,13,0.453,Low,Partial,1,0.576,0.634,1,Gov Grant,0.185,0,0.677,Compliant,Valid,0.0,1,0,0.106,High,Seed,0.3201
2322,Urban,Agriculture,204,135697,6696.75,68393.87,-0.11,0.87,0.179,9,0.278,Low,Partial,0,0.496,0.656,1,VC,0.083,0,0.522,Compliant,Missing,0.281,0,0,0.251,Moderate,Series A,0.1848
2323,Urban,Retail,164,55781,4144.73,43146.97,-0.022,0.478,0.256,27,0.288,Low,Partial,1,0.54,0.533,1,Gov Grant,0.122,0,0.374,Compliant,Valid,0.081,1,0,0.411,High,Seed,0.2707
2324,Rural,Retail,251,39238,5704.42,17470.09,0.337,0.329,0.122,9,0.477,Medium,Partial,0,0.437,0.346,1,Gov Grant,0.343,0,0.481,Compliant,Valid,0.268,0,0,0.18,High,Series B,0.4076
2325,Rural,Manufacturing,227,107781,4665.36,76014.75,-0.062,0.575,0.145,4,0.225,Medium,None,0,0.329,0.223,1,Angels,0.108,0,0.331,Not Registered,Valid,0.076,1,0,0.174,High,Seed,0.3292
2326,Urban,Education,436,39605,4827.16,19031.26,0.424,0.388,0.303,29,0.327,Medium,Full,0,0.579,0.551,1,None,0.398,1,0.808,Compliant,Valid,0.198,1,0,0.606,Moderate,Series B,0.6631
2327,Urban,Finance,381,429069,2848.52,217807.89,0.538,0.338,0.261,3,0.156,Low,None,0,0.435,0.364,1,Gov Grant,0.547,0,0.553,Compliant,Valid,0.366,1,0,0.341,Moderate,Series B,0.6284
2328,Rural,Education,460,6463,3858.05,3982.45,0.571,0.287,0.429,27,0.248,Medium,None,0,0.497,0.735,0,None,0.483,0,0.455,Late Filing,Valid,0.35,1,0,0.427,Moderate,Seed,0.6354
2329,Urban,Finance,7,19571,901.54,8913.69,-0.193,0.141,0.514,0,0.25,High,None,0,0.395,0.476,1,None,0.008,0,0.39,Late Filing,Valid,0.586,1,0,0.234,Moderate,Series A,0.211
2330,Urban,Agriculture,29,31200,3051.58,15452.17,0.567,0.226,0.357,23,0.592,Medium,Partial,0,0.639,0.516,1,Angels,0.486,1,0.664,Compliant,Expired,0.205,1,0,0.475,High,Series A,0.3968
2331,Rural,Agriculture,395,61534,5657.88,36423.44,0.392,0.452,0.122,15,0.311,Medium,None,0,0.413,0.337,1,None,0.382,0,0.557,Compliant,Valid,0.169,0,0,0.375,Moderate,Series A,0.4853
2332,Urban,Healthcare,33,166301,7639.76,96673.76,-0.133,0.2,0.138,12,0.019,Low,None,0,0.361,0.281,1,None,0.075,1,0.259,Not Registered,Valid,0.396,0,0,0.0,High,Series A,0.0133
2333,Urban,Tech,134,35268,7715.59,28641.12,0.132,0.611,0.037,6,0.298,Medium,Partial,1,0.565,0.502,1,None,0.215,0,0.87,Compliant,Valid,0.186,1,0,0.517,Moderate,Series A,0.2949
2334,Urban,Retail,367,6590,4579.07,2907.05,0.36,0.188,0.378,12,0.647,Medium,None,0,0.759,0.345,1,None,0.351,0,0.603,Compliant,Missing,0.331,1,0,0.351,Moderate,Series A,0.6366
2335,Rural,Finance,79,99809,4970.99,87158.0,0.565,0.643,0.118,20,0.447,Medium,None,0,0.595,0.221,1,None,0.498,0,0.796,Compliant,Valid,0.083,1,1,0.599,Moderate,Seed,0.4454
2336,Urban,Healthcare,416,89855,1730.05,76280.4,-0.069,0.72,0.247,20,0.062,Medium,None,0,0.427,0.51,1,None,0.1,0,0.568,Compliant,Valid,0.182,0,0,0.371,Moderate,Series A,0.3395
2337,Urban,Education,435,3533,5653.87,2901.64,-0.098,0.169,0.085,20,0.438,Low,Full,0,0.593,0.327,1,None,0.064,1,0.549,Compliant,Valid,0.053,1,0,0.444,High,Series A,0.3507
2338,Urban,Tech,459,36150,844.07,20611.1,0.178,0.319,0.025,13,0.318,High,None,0,0.499,0.517,1,None,0.243,0,0.569,Compliant,Valid,0.289,1,0,0.532,Low,Series B,0.4696
2339,Urban,Manufacturing,58,5387,2492.08,4592.88,0.574,0.416,0.433,1,0.335,Medium,None,0,0.506,0.519,1,None,0.485,0,0.598,Compliant,Valid,0.282,1,0,0.366,High,Series A,0.3698
2340,Urban,Manufacturing,471,16357,5446.4,8187.35,0.577,0.454,0.235,6,0.2,Medium,None,1,0.512,0.358,1,VC,0.489,0,0.476,Compliant,Valid,0.224,1,0,0.397,High,Series A,0.5894
2341,Urban,Tech,26,12291,2689.39,5757.41,-0.018,0.563,0.304,8,0.329,High,Partial,0,0.596,0.217,1,None,0.116,0,0.376,Late Filing,Valid,0.217,1,0,0.191,Critical,Series B,0.1946
2342,Urban,Healthcare,482,95905,683.82,40733.35,0.055,0.461,0.18,14,0.461,High,None,0,0.635,0.239,1,VC,0.178,0,0.69,Compliant,Missing,0.228,1,0,0.735,Moderate,Series A,0.5859
2343,Urban,Education,430,41781,6705.4,38297.33,0.526,0.088,0.027,0,0.458,Medium,Partial,1,0.6,0.514,1,Angels,0.462,1,0.742,Compliant,Expired,0.283,0,0,0.738,Moderate,Series A,0.6174
2344,Urban,Manufacturing,226,7764,2689.54,4420.87,0.388,0.644,0.194,2,0.303,Low,None,0,0.563,0.718,1,None,0.369,0,0.235,Not Registered,Valid,0.0,1,0,0.167,High,Series B,0.3592
2345,Urban,Retail,285,104410,785.91,94458.67,0.578,0.544,0.113,10,0.522,Medium,None,0,0.638,0.45,1,None,0.507,0,0.757,Compliant,Valid,0.078,1,0,0.706,Moderate,Series A,0.498
2346,Rural,Tech,4,6499,875.87,3574.04,0.515,0.247,0.043,4,0.497,Low,Full,0,0.66,0.42,1,Angels,0.448,0,0.521,Compliant,Valid,0.17,1,0,0.139,High,Series B,0.1804
2347,Rural,Healthcare,465,53967,2238.54,48525.04,-0.028,0.464,0.069,16,0.126,Medium,Partial,1,0.311,0.096,1,Angels,0.118,1,0.483,Compliant,Valid,0.0,0,0,0.4,Moderate,Seed,0.3612
2348,Urban,Agriculture,99,13673,1670.72,12266.88,0.408,0.468,0.189,2,0.379,Medium,None,1,0.625,0.695,1,Gov Grant,0.383,0,0.862,Compliant,Valid,0.426,1,0,0.358,Moderate,Seed,0.3654
2349,Urban,Manufacturing,397,23416,6262.11,21262.24,-0.161,0.333,0.26,22,0.236,Medium,None,0,0.469,0.312,1,None,0.029,1,0.563,Compliant,Expired,0.123,0,0,0.339,Moderate,Seed,0.3539
2350,Urban,Tech,489,66511,2776.97,44754.21,0.454,0.109,0.397,27,0.21,Medium,Partial,0,0.473,0.312,1,None,0.422,1,0.411,Late Filing,Expired,0.401,1,0,0.298,Moderate,Series A,0.6829
2351,Urban,Education,39,67896,6496.16,59495.26,0.281,0.169,0.357,2,0.253,Low,Partial,0,0.435,0.448,1,Angels,0.314,0,0.393,Compliant,Missing,0.204,1,0,0.334,High,Series A,0.3497
2352,Urban,Finance,271,180658,1638.61,166733.11,0.565,0.702,0.18,24,0.293,Low,Full,0,0.398,0.495,1,None,0.514,1,0.15,Not Registered,Missing,0.169,1,0,0.529,High,Series B,0.5032
2353,Urban,Education,375,32902,4095.17,19035.1,0.568,0.581,0.041,1,0.268,Medium,None,1,0.48,0.445,1,None,0.487,0,0.491,Compliant,Missing,0.324,1,1,0.258,High,Series B,0.4756
2354,Urban,Education,285,52457,5597.89,33067.89,-0.159,0.683,0.125,10,0.422,Low,Full,0,0.474,0.676,1,Gov Grant,0.036,0,0.23,Not Registered,Valid,0.0,1,0,0.196,High,Series A,0.288
2355,Rural,Finance,157,21477,5320.33,17086.72,-0.072,0.449,0.302,9,0.372,Low,None,1,0.564,0.204,1,Angels,0.084,0,0.777,Compliant,Valid,0.185,0,0,0.499,High,Series A,0.1976
2356,Urban,Education,75,45179,4928.7,25535.08,0.187,0.237,0.104,24,0.428,Low,None,1,0.632,0.449,1,None,0.251,0,0.657,Compliant,Expired,0.115,1,0,0.357,Moderate,Series A,0.2338
2357,Urban,Healthcare,372,61536,7421.13,50126.93,0.504,0.49,0.204,17,0.413,Low,None,1,0.603,0.466,1,VC,0.452,0,0.654,Compliant,Valid,0.347,0,0,0.655,Moderate,Series A,0.5893
2358,Urban,Healthcare,288,32274,2059.64,14221.24,0.452,0.159,0.333,9,0.303,Low,Full,1,0.528,0.326,1,Angels,0.414,0,0.766,Compliant,Valid,0.172,1,0,0.579,Moderate,Series A,0.526
2359,Urban,Education,130,4169,4101.64,2867.96,0.571,0.085,0.046,9,0.288,Low,None,1,0.461,0.498,1,None,0.483,1,0.763,Compliant,Valid,0.0,1,0,0.476,Moderate,Series A,0.4338
2360,Urban,Healthcare,175,54055,7106.74,25258.41,0.294,0.635,0.217,10,0.275,Low,None,0,0.557,0.711,1,None,0.32,0,0.435,Compliant,Valid,0.111,1,0,0.559,Moderate,Series A,0.3735
2361,Urban,Retail,462,56245,899.78,31571.89,0.005,0.413,0.251,23,0.098,High,None,0,0.357,0.749,0,None,0.139,0,0.776,Compliant,Valid,0.403,1,1,0.645,High,Series A,0.4249
2362,Urban,Tech,84,16055,730.34,8705.73,-0.18,0.778,0.094,12,0.453,Low,Partial,0,0.584,0.386,1,Angels,0.016,1,0.802,Compliant,Valid,0.107,0,0,0.578,Moderate,Seed,0.1194
2363,Urban,Retail,22,7776,2096.43,6698.34,-0.022,0.247,0.558,21,0.246,Medium,None,0,0.444,0.569,1,None,0.113,0,0.579,Compliant,Valid,0.534,1,0,0.417,Moderate,Series A,0.2121
2364,Urban,Education,459,213428,5174.26,108087.3,0.34,0.261,0.576,24,0.199,Medium,Full,0,0.357,0.443,1,VC,0.38,0,0.861,Compliant,Valid,0.496,1,0,0.507,Moderate,Series B,0.6834
2365,Urban,Healthcare,27,65495,2301.07,55320.11,0.541,0.439,0.095,16,0.152,Low,None,1,0.42,0.603,1,None,0.476,0,0.405,Compliant,Valid,0.0,0,0,0.053,High,Series A,0.3591
2366,Urban,Tech,195,27587,1764.85,23081.44,0.057,0.435,0.191,18,0.109,Low,None,0,0.444,0.373,0,Gov Grant,0.166,0,0.382,Late Filing,Valid,0.0,1,0,0.368,High,Series A,0.1979
2367,Urban,Education,337,9279,3832.78,6257.62,0.501,0.284,0.081,22,0.242,Low,None,0,0.403,0.62,1,None,0.44,1,0.386,Compliant,Missing,0.0,0,0,0.272,High,Series A,0.4544
2368,Rural,Healthcare,382,13546,5024.71,7160.6,0.116,0.144,0.292,22,0.156,High,Full,0,0.419,0.521,1,None,0.2,0,0.441,Compliant,Valid,0.733,1,0,0.282,Moderate,Series A,0.4204
2369,Urban,Agriculture,236,173357,2213.89,90976.54,0.047,0.676,0.16,5,0.166,High,None,1,0.415,0.641,0,None,0.189,0,0.745,Compliant,Valid,0.243,1,0,0.331,Moderate,Seed,0.2805
2370,Urban,Education,440,42839,2615.32,28089.9,0.207,0.635,0.413,7,0.559,Low,None,0,0.683,0.53,0,Angels,0.263,0,0.61,Late Filing,Missing,0.184,1,0,0.342,Moderate,Seed,0.7222
2371,Rural,Retail,92,18756,5024.41,7593.27,0.154,0.365,0.218,24,0.263,High,None,1,0.493,0.566,1,None,0.225,0,0.54,Compliant,Valid,0.065,1,0,0.19,Critical,Series B,0.2309
2372,Urban,Retail,477,66945,7582.19,46342.2,0.531,0.669,0.187,6,0.543,Medium,Partial,1,0.665,0.683,1,None,0.47,1,0.584,Compliant,Valid,0.194,0,0,0.833,Moderate,Series B,0.7155
2373,Urban,Finance,21,13667,5495.51,12628.7,0.175,0.331,0.09,3,0.301,Low,Full,1,0.553,0.611,1,None,0.237,0,0.474,Compliant,Valid,0.006,0,0,0.411,Moderate,Series A,0.1129
2374,Urban,Healthcare,303,219918,6328.36,106679.76,0.022,0.389,0.06,24,0.024,Medium,Full,1,0.408,0.531,1,Gov Grant,0.183,0,0.213,Not Registered,Missing,0.114,1,0,0.393,High,Seed,0.1984
2375,Rural,Tech,464,184123,3124.44,131710.56,0.474,0.165,0.424,1,0.295,High,None,0,0.541,0.429,1,Gov Grant,0.458,0,0.795,Compliant,Valid,0.617,1,0,0.792,Low,Series A,0.7044
2376,Rural,Agriculture,357,20746,2396.36,19272.58,0.599,0.464,0.25,3,0.244,High,Full,1,0.402,0.698,0,None,0.504,0,0.814,Compliant,Valid,0.493,0,0,0.387,High,Series A,0.6261
2377,Rural,Tech,443,17079,3797.86,14914.87,0.319,0.514,0.349,12,0.106,Low,None,0,0.175,0.549,1,Gov Grant,0.328,1,0.1,Not Registered,Valid,0.3,1,0,0.0,High,Series A,0.5699
2378,Urban,Agriculture,84,1569,6514.92,1361.44,0.0,0.665,0.023,2,0.602,High,None,0,0.707,0.505,1,Angels,0.125,0,0.449,Compliant,Valid,0.301,1,0,0.628,Moderate,Series B,0.2107
2379,Urban,Retail,262,6137,3813.51,5228.83,-0.009,0.266,0.364,4,0.168,Medium,None,0,0.414,0.4,1,None,0.121,0,0.511,Compliant,Valid,0.39,0,0,0.156,Moderate,Series A,0.3523
2380,Rural,Agriculture,147,7278,6819.79,4148.19,-0.154,0.608,0.116,27,0.489,Low,None,1,0.655,0.484,1,Gov Grant,0.03,1,0.699,Compliant,Valid,0.083,1,0,0.765,High,Series A,0.2533
2381,Urban,Agriculture,441,42712,7913.54,38006.81,-0.138,0.346,0.025,10,0.28,Low,None,1,0.502,0.463,1,Gov Grant,0.047,1,0.552,Compliant,Valid,0.022,1,0,0.468,High,Seed,0.3227
2382,Urban,Education,453,24551,854.61,22531.37,0.532,0.551,0.016,8,0.519,Medium,Partial,0,0.606,0.772,1,Gov Grant,0.462,0,0.746,Compliant,Valid,0.124,1,1,0.356,High,Series A,0.5821
2383,Urban,Agriculture,387,7227,649.66,4861.5,-0.123,0.592,0.284,3,0.194,High,Partial,1,0.468,0.351,1,Gov Grant,0.05,1,0.273,Not Registered,Valid,0.431,1,0,0.185,High,Seed,0.3625
2384,Rural,Agriculture,257,25916,1451.84,15420.38,0.187,0.42,0.224,6,0.265,High,Full,0,0.479,0.392,1,VC,0.247,0,0.424,Compliant,Valid,0.536,1,0,0.251,High,Seed,0.3482
2385,Urban,Agriculture,58,66596,3259.65,41810.7,0.358,0.254,0.124,1,0.6,Medium,Full,0,0.745,0.678,1,None,0.362,1,0.553,Compliant,Valid,0.32,0,1,0.38,High,Series B,0.3511
2386,Urban,Education,380,68419,1309.03,39943.94,0.48,0.481,0.086,5,0.03,Low,None,0,0.319,0.323,0,Gov Grant,0.439,0,0.37,Late Filing,Valid,0.109,1,0,0.271,Critical,Seed,0.5341
2387,Urban,Manufacturing,422,3716,7004.12,1920.54,-0.063,0.19,0.127,21,0.509,Low,None,1,0.608,0.77,1,None,0.086,0,0.614,Compliant,Valid,0.0,1,1,0.296,High,Series A,0.4214
2388,Urban,Manufacturing,15,31135,478.23,23044.47,0.15,0.174,0.186,29,0.529,Low,None,1,0.694,0.69,1,None,0.225,0,0.428,Compliant,Expired,0.201,1,0,0.737,Moderate,Series A,0.1957
2389,Urban,Manufacturing,162,6905,2731.6,4898.6,0.001,0.456,0.025,25,0.138,Medium,Partial,0,0.321,0.312,1,None,0.127,1,0.522,Compliant,Valid,0.029,1,0,0.179,High,Series A,0.1022
2390,Urban,Agriculture,445,107160,1722.15,70127.84,0.005,0.215,0.163,4,0.107,Low,Full,1,0.45,0.766,1,None,0.149,0,0.374,Late Filing,Valid,0.148,1,0,0.368,High,Series B,0.3462
2391,Rural,Manufacturing,163,93058,7472.85,42128.75,0.043,0.685,0.439,28,0.373,Low,None,0,0.53,0.262,1,Gov Grant,0.17,0,0.446,Compliant,Valid,0.208,0,0,0.174,High,Seed,0.3533
2392,Urban,Finance,320,12362,5455.0,10362.95,0.27,0.623,0.142,5,0.214,Medium,None,0,0.503,0.462,1,None,0.296,1,0.667,Compliant,Valid,0.03,0,0,0.512,Moderate,Series A,0.4757
2393,Urban,Retail,497,14483,7322.63,7186.66,-0.187,0.053,0.285,21,0.395,Medium,None,1,0.614,0.599,1,None,0.011,0,0.451,Late Filing,Valid,0.02,1,0,0.547,Moderate,Series A,0.4622
2394,Urban,Healthcare,281,20879,7786.93,9667.17,0.127,0.782,0.315,19,0.1,Low,None,0,0.369,0.688,1,None,0.209,1,0.811,Compliant,Valid,0.272,1,0,0.339,Moderate,Series A,0.3834
2395,Urban,Manufacturing,280,2432,4127.66,1806.22,-0.051,0.153,0.343,29,0.353,High,Partial,1,0.482,0.249,1,None,0.094,0,0.261,Not Registered,Expired,0.399,1,0,0.737,Moderate,Seed,0.3242
2396,Rural,Healthcare,12,54348,2104.26,33655.24,0.574,0.42,0.542,28,0.504,Low,Partial,0,0.519,0.658,0,Angels,0.495,1,0.328,Not Registered,Valid,0.258,1,0,0.226,High,Series A,0.4592
2397,Urban,Tech,274,26176,1791.71,11331.45,0.266,0.248,0.024,11,0.134,Low,None,0,0.204,0.545,1,None,0.296,1,0.928,Compliant,Valid,0.0,1,0,0.367,Moderate,Series A,0.2913
2398,Urban,Healthcare,271,116333,2016.48,69283.58,0.494,0.317,0.153,0,0.09,Low,None,1,0.419,0.298,1,Gov Grant,0.457,1,0.937,Compliant,Valid,0.336,1,0,0.401,Moderate,Series A,0.5009
2399,Rural,Healthcare,492,9720,5756.17,8013.94,-0.043,0.66,0.305,1,0.098,High,Partial,0,0.173,0.287,1,None,0.1,0,0.328,Compliant,Valid,0.523,1,0,0.318,High,Seed,0.4213
2400,Urban,Healthcare,208,17276,611.43,12756.37,0.448,0.367,0.414,5,0.498,Low,Full,1,0.623,0.735,1,Angels,0.408,0,0.277,Not Registered,Valid,0.29,0,0,0.309,Moderate,Debt Financing,0.4831
2401,Urban,Healthcare,27,5956,695.48,3570.81,0.132,0.096,0.303,22,0.334,Low,Partial,0,0.581,0.361,1,None,0.209,0,0.599,Compliant,Missing,0.135,0,0,0.412,Moderate,Series A,0.23
2402,Urban,Finance,72,10882,4982.7,5500.77,-0.058,0.064,0.41,9,0.372,Medium,Full,0,0.531,0.539,1,Angels,0.091,0,0.771,Compliant,Missing,0.586,1,0,0.578,Moderate,Series A,0.256
2403,Rural,Manufacturing,60,8792,5243.84,6571.91,0.409,0.382,0.038,3,0.483,Low,Partial,1,0.649,0.512,1,None,0.382,0,0.821,Compliant,Valid,0.0,0,0,0.849,Moderate,Series A,0.3168
2404,Urban,Agriculture,430,119991,5422.52,106570.66,0.41,0.157,0.174,7,0.153,Low,Full,1,0.295,0.388,1,None,0.405,1,0.413,Compliant,Missing,0.196,0,0,0.499,High,Series B,0.5455
2405,Rural,Finance,473,15711,3163.48,11868.87,0.597,0.305,0.353,20,0.117,Medium,Partial,0,0.34,0.481,1,Angels,0.501,0,0.347,Not Registered,Valid,0.3,1,0,0.153,High,Series A,0.6862
2406,Rural,Agriculture,145,42151,6505.78,35705.99,0.425,0.365,0.108,8,0.432,Low,Partial,1,0.651,0.468,1,Angels,0.399,1,0.682,Compliant,Valid,0.102,1,0,0.911,Moderate,Debt Financing,0.3106
2407,Rural,Retail,93,22996,4408.91,15794.58,-0.084,0.103,0.156,5,0.175,High,None,0,0.491,0.545,0,Angels,0.077,0,0.803,Compliant,Valid,0.242,1,0,0.385,Moderate,Seed,0.1472
2408,Urban,Retail,309,7916,1112.09,6292.3,0.058,0.369,0.046,1,0.164,Low,None,0,0.443,0.503,1,None,0.163,0,0.764,Compliant,Valid,0.0,1,0,0.278,High,Series B,0.2163
2409,Urban,Healthcare,8,29674,6437.66,26496.65,0.161,0.354,0.432,20,0.112,Low,Partial,0,0.404,0.378,1,None,0.232,0,0.635,Compliant,Valid,0.223,1,0,0.232,High,Series B,0.222
2410,Urban,Tech,79,74528,7638.62,61504.12,-0.099,0.401,0.067,11,0.194,High,None,0,0.226,0.449,1,None,0.078,0,0.319,Compliant,Valid,0.588,1,0,0.386,Moderate,Series A,0.0576
2411,Urban,Manufacturing,27,8524,762.28,7675.18,0.43,0.366,0.561,11,0.524,Medium,None,0,0.562,0.332,1,VC,0.395,0,0.501,Compliant,Valid,0.272,1,0,0.366,Moderate,Seed,0.4691
2412,Urban,Retail,174,95888,3313.41,61092.81,0.221,0.606,0.034,14,0.466,High,Full,0,0.614,0.619,1,Angels,0.282,0,0.296,Compliant,Expired,0.139,1,0,0.19,High,Debt Financing,0.3145
2413,Urban,Healthcare,50,13100,4053.87,11754.91,0.556,0.313,0.189,26,0.574,Low,None,0,0.594,0.234,1,None,0.475,0,0.308,Not Registered,Expired,0.201,1,0,0.134,High,Series A,0.4593
2414,Urban,Finance,199,20342,1427.82,15090.96,0.271,0.385,0.165,15,0.271,High,Partial,0,0.48,0.541,1,None,0.298,0,0.818,Compliant,Valid,0.391,1,0,0.773,Moderate,Series A,0.2906
2415,Urban,Tech,387,68653,6981.36,60313.5,0.218,0.305,0.102,4,0.258,Low,Partial,1,0.533,0.639,0,None,0.275,0,0.416,Late Filing,Valid,0.0,0,0,0.103,Critical,Angel,0.4937
2416,Urban,Tech,349,16381,2487.95,6907.16,-0.143,0.249,0.065,4,0.656,Low,Partial,0,0.789,0.577,1,VC,0.039,1,0.466,Late Filing,Expired,0.016,0,0,0.681,High,Series B,0.37
2417,Urban,Agriculture,448,37990,6329.17,28941.5,-0.081,0.195,0.266,23,0.228,Low,None,1,0.464,0.273,1,None,0.082,0,0.624,Compliant,Valid,0.0,1,0,0.533,High,Series A,0.3995
2418,Urban,Finance,428,24894,5466.66,21567.82,0.48,0.093,0.155,2,0.65,Low,None,0,0.784,0.462,1,VC,0.43,0,0.62,Compliant,Valid,0.091,1,1,0.854,High,Debt Financing,0.5843
2419,Urban,Agriculture,181,42414,4904.95,21029.33,0.593,0.65,0.377,3,0.37,Medium,Partial,0,0.589,0.464,1,None,0.504,0,0.773,Compliant,Valid,0.067,1,1,0.418,Moderate,Series A,0.462
2420,Urban,Agriculture,24,2086,1779.5,1593.67,0.132,0.183,0.055,21,0.319,Low,Partial,0,0.579,0.415,1,VC,0.208,0,0.405,Late Filing,Valid,0.034,1,0,0.279,High,Series A,0.1441
2421,Urban,Healthcare,316,4042,1999.42,3450.76,0.448,0.103,0.263,12,0.596,High,None,0,0.742,0.44,1,None,0.406,0,0.85,Compliant,Valid,0.34,1,0,0.195,Moderate,Series A,0.6058
2422,Urban,Manufacturing,378,76051,664.58,42464.76,0.302,0.516,0.166,27,0.426,Low,Partial,0,0.415,0.547,1,None,0.329,0,0.541,Compliant,Valid,0.254,1,0,0.367,High,Series A,0.515
2423,Urban,Agriculture,387,126073,2153.49,78529.04,0.567,0.415,0.207,13,0.261,High,Full,0,0.505,0.619,1,None,0.505,1,0.505,Late Filing,Valid,0.318,0,0,0.274,Moderate,Seed,0.6074
2424,Urban,Retail,404,12178,2959.92,8685.77,-0.009,0.657,0.064,14,0.425,Low,Full,1,0.651,0.385,1,None,0.122,0,0.383,Compliant,Valid,0.095,1,1,0.247,High,Series A,0.3867
2425,Urban,Tech,46,27097,6715.22,18576.14,0.236,0.813,0.172,14,0.361,Medium,Full,0,0.455,0.31,1,None,0.278,0,0.549,Compliant,Valid,0.12,0,0,0.341,High,Series A,0.1974
2426,Urban,Education,15,51723,3121.22,21804.05,0.127,0.613,0.036,28,0.146,Low,None,0,0.352,0.564,1,None,0.215,0,0.417,Compliant,Missing,0.0,1,0,0.296,High,Series A,0.1651
2427,Urban,Manufacturing,153,83438,6110.59,37903.35,0.233,0.404,0.118,24,0.121,Medium,Partial,1,0.331,0.561,1,None,0.287,0,0.766,Compliant,Valid,0.239,0,0,0.511,Moderate,Series B,0.2545
2428,Urban,Finance,222,3187,3683.71,1450.9,0.015,0.43,0.023,25,0.089,Low,None,1,0.318,0.532,1,Angels,0.135,1,0.618,Compliant,Valid,0.196,1,0,0.385,High,Series A,0.1773
2429,Urban,Finance,206,12541,6343.49,6825.41,0.198,0.59,0.177,12,0.112,Low,Partial,1,0.234,0.288,1,Gov Grant,0.251,0,0.207,Not Registered,Valid,0.0,1,0,0.203,Critical,Series A,0.197
2430,Urban,Tech,455,24365,7817.29,13040.76,0.3,0.146,0.244,2,0.399,Low,Partial,1,0.497,0.317,1,None,0.317,1,0.173,Not Registered,Valid,0.107,0,0,0.537,High,Series A,0.5818
2431,Urban,Manufacturing,273,84438,2146.78,68244.68,-0.135,0.602,0.111,10,0.02,Low,None,0,0.325,0.467,1,VC,0.057,1,0.322,Not Registered,Valid,0.048,0,0,0.21,High,Series A,0.2123
2432,Urban,Manufacturing,382,728044,6940.03,520558.31,0.394,0.357,0.253,16,0.311,High,None,0,0.573,0.578,1,None,0.516,0,0.443,Compliant,Missing,0.166,1,0,0.57,High,Series A,0.5957
2433,Rural,Healthcare,236,27623,5088.05,22656.02,0.365,0.32,0.249,9,0.525,Medium,None,0,0.679,0.664,1,Angels,0.359,1,0.314,Not Registered,Valid,0.165,1,0,0.428,Moderate,Series B,0.4198
2434,Urban,Tech,340,6712,6593.17,2942.83,0.504,0.288,0.344,23,0.161,Low,None,0,0.273,0.293,1,Angels,0.441,0,0.623,Compliant,Expired,0.246,1,1,0.421,High,Series A,0.6088
2435,Urban,Agriculture,228,58849,5317.21,39244.5,0.141,0.513,0.333,29,0.464,Low,Full,0,0.502,0.434,0,None,0.225,0,0.462,Late Filing,Valid,0.074,1,0,0.354,Critical,Series A,0.4835
2436,Urban,Tech,9,177228,3564.41,102451.35,-0.151,0.095,0.464,29,0.261,Medium,None,0,0.502,0.47,1,Gov Grant,0.066,1,0.841,Compliant,Valid,0.216,1,0,0.394,Moderate,Seed,0.0492
2437,Urban,Agriculture,166,41341,2056.18,35861.94,0.169,0.262,0.055,3,0.132,Low,None,1,0.407,0.143,1,None,0.239,1,0.384,Compliant,Valid,0.0,1,0,0.235,High,Series A,0.2313
2438,Rural,Manufacturing,432,12235,839.27,9656.89,-0.09,0.409,0.322,24,0.269,Low,Full,1,0.442,0.516,1,Angels,0.071,0,0.435,Compliant,Valid,0.437,1,1,0.265,High,Series A,0.4729
2439,Urban,Education,444,114645,4423.49,100668.88,0.318,0.143,0.355,1,0.026,Low,None,0,0.196,0.431,1,None,0.347,0,0.212,Not Registered,Valid,0.247,1,1,0.024,High,Series A,0.5493
2440,Rural,Tech,319,80520,7925.51,34264.07,-0.162,0.242,0.346,9,0.129,Low,Partial,0,0.426,0.76,0,Angels,0.04,1,0.385,Late Filing,Valid,0.121,1,0,0.366,High,Seed,0.2741
2441,Urban,Agriculture,214,10601,5982.92,8443.2,0.099,0.477,0.152,26,0.476,High,None,0,0.567,0.443,1,VC,0.189,0,0.583,Compliant,Valid,0.266,1,0,0.337,High,Series A,0.3692
2442,Rural,Education,117,57395,2820.56,40004.58,-0.134,0.7,0.257,27,0.144,Medium,Partial,0,0.264,0.62,1,None,0.053,0,0.781,Compliant,Expired,0.374,0,0,0.712,Moderate,Series A,0.061
2443,Urban,Education,386,120177,6669.48,102601.12,-0.197,0.165,0.161,9,0.301,Low,Partial,1,0.571,0.745,1,None,0.026,0,0.766,Compliant,Valid,0.016,0,0,0.709,Moderate,Seed,0.3309
